date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:13:42	979/979	------	200	untouched ('')	image/png	etag:%223d3-4bf10493da000%22	http://www.materiasensible.cat/misc/tree.png	cat/www.materiasensible.cat/misc/tree/index.png	(from http://www.materiasensible.cat/sites/default/files/css/css_b6a092962440a5913b44a3e5f6d99b67.css)
19:13:42	976/976	------	200	untouched ('')	image/png	etag:%223d0-4bf10493da000%22	http://www.materiasensible.cat/misc/tree-bottom.png	cat/www.materiasensible.cat/misc/tree-bottom/index.png	(from http://www.materiasensible.cat/sites/default/files/css/css_b6a092962440a5913b44a3e5f6d99b67.css)
19:13:42	1336/1336	------	200	untouched ('')	image/gif	etag:%22538-4bf10493da000%22	http://www.materiasensible.cat/misc/throbber.gif	cat/www.materiasensible.cat/misc/throbber/index.gif	(from http://www.materiasensible.cat/sites/default/files/css/css_b6a092962440a5913b44a3e5f6d99b67.css)
19:13:42	106/106	------	200	untouched ('')	image/png	etag:%226a-4bf10493da000%22	http://www.materiasensible.cat/misc/menu-expanded.png	cat/www.materiasensible.cat/misc/menu-expanded/index.png	(from http://www.materiasensible.cat/sites/default/files/css/css_b6a092962440a5913b44a3e5f6d99b67.css)
19:13:42	108/108	------	200	untouched ('')	image/png	etag:%226c-4bf10493da000%22	http://www.materiasensible.cat/misc/menu-collapsed.png	cat/www.materiasensible.cat/misc/menu-collapsed/index.png	(from http://www.materiasensible.cat/sites/default/files/css/css_b6a092962440a5913b44a3e5f6d99b67.css)
19:13:42	162/162	------	200	untouched ('')	image/png	etag:%22a2-4bf10493da000%22	http://www.materiasensible.cat/misc/grippie.png	cat/www.materiasensible.cat/misc/grippie/index.png	(from http://www.materiasensible.cat/sites/default/files/css/css_b6a092962440a5913b44a3e5f6d99b67.css)
19:13:42	349/349	------	200	untouched ('')	image/png	etag:%2215d-4bf10493da000%22	http://www.materiasensible.cat/misc/draggable.png	cat/www.materiasensible.cat/misc/draggable/index.png	(from http://www.materiasensible.cat/sites/default/files/css/css_b6a092962440a5913b44a3e5f6d99b67.css)
19:13:42	790/790	------	200	untouched ('')	image/gif	etag:%22316-4bf10493da000%22	http://www.materiasensible.cat/misc/progress.gif	cat/www.materiasensible.cat/misc/progress/index.gif	(from http://www.materiasensible.cat/sites/default/files/css/css_b6a092962440a5913b44a3e5f6d99b67.css)
19:13:42	194/194	------	200	untouched ('')	image/png	etag:%22c2-4bf10493da000%22	http://www.materiasensible.cat/misc/menu-leaf.png	cat/www.materiasensible.cat/misc/menu-leaf/index.png	(from http://www.materiasensible.cat/sites/default/files/css/css_b6a092962440a5913b44a3e5f6d99b67.css)
19:13:42	2196/2196	------	200	untouched ('')	image/gif	etag:%22894-49954c2c781c0%22	http://www.materiasensible.cat/sites/all/modules/ctools/images/status-active.gif	cat/www.materiasensible.cat/sites/all/modules/ctools/images/status-active/index.gif	(from http://www.materiasensible.cat/sites/default/files/css/css_b6a092962440a5913b44a3e5f6d99b67.css)
19:13:42	1554/1554	------	200	untouched ('')	image/png	etag:%22612-4a222538a4140%22	http://www.materiasensible.cat/sites/all/modules/follow/icons/small/icon-facebook.png	cat/www.materiasensible.cat/sites/all/modules/follow/icons/small/icon-facebook/index.png	(from http://www.materiasensible.cat/sites/default/files/css/css_b6a092962440a5913b44a3e5f6d99b67.css)
19:13:42	1718/1718	------	200	untouched ('')	image/png	etag:%226b6-4a222538a4140%22	http://www.materiasensible.cat/sites/all/modules/follow/icons/small/icon-myspace.png	cat/www.materiasensible.cat/sites/all/modules/follow/icons/small/icon-myspace/index.png	(from http://www.materiasensible.cat/sites/default/files/css/css_b6a092962440a5913b44a3e5f6d99b67.css)
19:13:42	1526/1526	------	200	untouched ('')	image/png	etag:%225f6-4a222538a4140%22	http://www.materiasensible.cat/sites/all/modules/follow/icons/small/icon-virb.png	cat/www.materiasensible.cat/sites/all/modules/follow/icons/small/icon-virb/index.png	(from http://www.materiasensible.cat/sites/default/files/css/css_b6a092962440a5913b44a3e5f6d99b67.css)
19:13:42	1650/1650	------	200	untouched ('')	image/png	etag:%22672-4a222538a4140%22	http://www.materiasensible.cat/sites/all/modules/follow/icons/small/icon-bliptv.png	cat/www.materiasensible.cat/sites/all/modules/follow/icons/small/icon-bliptv/index.png	(from http://www.materiasensible.cat/sites/default/files/css/css_b6a092962440a5913b44a3e5f6d99b67.css)
19:13:42	1621/1621	------	200	untouched ('')	image/png	etag:%22655-4a222538a4140%22	http://www.materiasensible.cat/sites/all/modules/follow/icons/small/icon-lastfm.png	cat/www.materiasensible.cat/sites/all/modules/follow/icons/small/icon-lastfm/index.png	(from http://www.materiasensible.cat/sites/default/files/css/css_b6a092962440a5913b44a3e5f6d99b67.css)
19:13:42	1559/1559	------	200	untouched ('')	image/png	etag:%22617-4a222538a4140%22	http://www.materiasensible.cat/sites/all/modules/follow/icons/small/icon-youtube.png	cat/www.materiasensible.cat/sites/all/modules/follow/icons/small/icon-youtube/index.png	(from http://www.materiasensible.cat/sites/default/files/css/css_b6a092962440a5913b44a3e5f6d99b67.css)
19:13:42	1698/1698	------	200	untouched ('')	image/png	etag:%226a2-4a222538a4140%22	http://www.materiasensible.cat/sites/all/modules/follow/icons/small/icon-twitter.png	cat/www.materiasensible.cat/sites/all/modules/follow/icons/small/icon-twitter/index.png	(from http://www.materiasensible.cat/sites/default/files/css/css_b6a092962440a5913b44a3e5f6d99b67.css)
19:13:42	1692/1692	------	200	untouched ('')	image/png	etag:%2269c-4a222538a4140%22	http://www.materiasensible.cat/sites/all/modules/follow/icons/small/icon-picasa.png	cat/www.materiasensible.cat/sites/all/modules/follow/icons/small/icon-picasa/index.png	(from http://www.materiasensible.cat/sites/default/files/css/css_b6a092962440a5913b44a3e5f6d99b67.css)
19:13:42	1559/1559	------	200	untouched ('')	image/png	etag:%22617-4a222538a4140%22	http://www.materiasensible.cat/sites/all/modules/follow/icons/small/icon-flickr.png	cat/www.materiasensible.cat/sites/all/modules/follow/icons/small/icon-flickr/index.png	(from http://www.materiasensible.cat/sites/default/files/css/css_b6a092962440a5913b44a3e5f6d99b67.css)
19:13:42	1624/1624	------	200	untouched ('')	image/png	etag:%22658-4a222538a4140%22	http://www.materiasensible.cat/sites/all/modules/follow/icons/small/icon-vimeo.png	cat/www.materiasensible.cat/sites/all/modules/follow/icons/small/icon-vimeo/index.png	(from http://www.materiasensible.cat/sites/default/files/css/css_b6a092962440a5913b44a3e5f6d99b67.css)
19:13:42	1703/1703	------	200	untouched ('')	image/png	etag:%226a7-4a222538a4140%22	http://www.materiasensible.cat/sites/all/modules/follow/icons/small/icon-linkedin.png	cat/www.materiasensible.cat/sites/all/modules/follow/icons/small/icon-linkedin/index.png	(from http://www.materiasensible.cat/sites/default/files/css/css_b6a092962440a5913b44a3e5f6d99b67.css)
